ticker,Price to Book,Price to Earnings,Dividend Yield,Gearing Ratio,BETA
ADM US Equity,1.362024928,13.34913569,0.028692074,0.412265043,0.702989972
AE US Equity,1.076237185,15.4765246,0.022797927,0.017247648,0.771343622
AGCO US Equity,1.560668665,15.70039122,0.010209379,0.574219408,0.892521141
AJRD US Equity,6.707352514,15.83062783,0,1.582996973,1.180544173
ALG US Equity,1.951459341,14.66061354,0.005171066,0.20364385,0.82281076
AMD US Equity,17.01003463,58.36380256,0,1.158222222,1.767563299
AMOT US Equity,4.222974566,30.37167661,0.002344797,0.621577779,1.027827074
ASGN US Equity,3.093882204,21.16658741,0,1.021534327,1.355446175
ATRO US Equity,2.624949705,22.90490002,0,0.702797439,1.256236289
AVT US Equity,1.032816163,13.27784138,0.017711489,0.33874124,1.064809695
AWI US Equity,9.96467338,21.08988082,0,2.500453309,0.808409859
BBBY US Equity,0.598595904,4.762175048,0.049264998,0.514162723,0.530240551
BFAM US Equity,8.831152482,44.52804122,0,1.466040684,0.77765541
BID US Equity,4.212225967,15.57166894,0,1.920578232,1.162338506
BIG US Equity,1.418004298,10.31824186,0.025605214,0.349096537,0.611001523
BKNG US Equity,8.592411777,21.69173613,0,0.874604821,0.883529486
BLD US Equity,1.551071632,11.66036067,0,0.683115185,1.20451993
BSET US Equity,1.090691436,16.54059506,0.040904472,0.002271366,0.620493411
BWA US Equity,2.013378132,9.164024618,0.012973798,0.512277589,1.225655775
BYD US Equity,2.314951053,19.2417448,0.004661017,3.108227546,1.481572288
CAL US Equity,1.865104292,13.25296179,0.008813346,0.268181781,0.750163652
CBRE US Equity,3.146291715,19.04553415,0,0.730188914,0.977923937
CENTA US Equity,2.002664143,14.88070431,0,0.929019055,0.410302293
CHEF US Equity,3.606755127,51.8572048,0,0.939965453,1.00697049
CIVI US Equity,3.274883368,18.3044316,0,3.87599207,0.433820864
CLGX US Equity,3.102990631,22.02548018,0,1.713324519,0.786746242
CLR US Equity,2.959816143,17.14086676,0,1.003175215,1.274498236
COMM US Equity,1.996626654,20.24206085,0,2.269875276,0.889086286
CRL US Equity,4.790196236,24.45145365,0,1.322080939,1.211062234
CTB US Equity,1.452979723,16.69458953,0.012396694,0.25319147,0.886314498
CTLT US Equity,3.59587903,33.55782012,0,1.490192232,1.093857454
CTXS US Equity,19.10252972,26.7687143,0,2.890001593,0.802746209
DHI US Equity,1.46410309,8.524126496,0.014302059,0.349769077,0.934634574
DKS US Equity,1.790188763,10.68138573,0.02233847,0.088574305,0.864639544
EBIX US Equity,3.075907088,13.8005698,0.006193229,1.204424011,0.895894846
EEFT US Equity,4.853436264,27.26432982,0,0.753625647,0.924612872
ELF US Equity,2.772472983,35.72669369,0,0.703938283,0.86915682
ELVT US Equity,1.738487866,21.69902913,0,4.943225307,0.186989886
EML US Equity,1.910051477,15.22595972,0.015602837,0.383140106,0.843143149
ENTG US Equity,3.448501163,17.30491803,0.00265252,0.600389786,1.684561734
ERI US Equity,2.637338014,24.94172494,0,2.86433528,1.53371874
ETH US Equity,1.307082643,15.09404265,0.040667362,0.003792434,0.670857735
FICO US Equity,19.91704897,42.88421452,0,2.896612914,1.206188158
FISV US Equity,11.95294905,29.53229566,0,1.982337467,0.797191296
FL US Equity,2.249677386,11.04427774,0.02712777,0.04995971,0.901863468
FLR US Equity,1.994893664,19.99443698,0.019476003,0.538856956,1.175411814
FLT US Equity,4.744176787,25.03874544,0,1.255646996,1.070496027
FTV US Equity,4.419379031,23.62487572,0.003801249,0.855259784,0.997473596
GBX US Equity,1.184532071,10.7356236,0.020869565,0.32810154,1.138694454
GDI US Equity,3.014595052,19.33962264,0,1.08124923,1.212138226
GHC US Equity,1.177177769,18.59718956,0.008397392,0.168391195,0.566297561
GME US Equity,0.629549098,4.429754319,0.116923077,0.389316605,0.658084932
GOLF US Equity,2.003682992,17.81984825,0.021922428,0.444209109,0.802540924
GPN US Equity,4.182438376,35.8304634,0.000475828,1.313851672,1.218487755
GTLS US Equity,2.393932388,31.22568093,0,0.60665874,1.246050151
HFC US Equity,1.806870577,9.863304453,0.021198009,0.367051664,1.031114767
HOFT US Equity,1.44698674,10.86781987,0.018132975,0.163117468,0.656654461
HPE US Equity,0.93249826,8.246615195,0.025440977,0.523783139,1.221983245
HURC US Equity,1.249965028,11.92714976,0.010445163,0.006793937,1.010235784
HWKN US Equity,1.951274532,13.38874121,0.005654687,0.393499683,1.144323172
HY US Equity,1.872199274,13.98203593,0.019430565,0.502798033,1.084369089
IAC US Equity,5.398398572,29.97130227,0,0.587896197,1.225632126
IART US Equity,3.281944782,28.04124261,0,1.049205871,0.709587929
IBP US Equity,5.037365071,21.48493321,0,2.169604994,1.43198455
IDTI US Equity,9.332855236,41.89769272,0,0.771081509,1.184630337
INT US Equity,1.032782592,14.60390726,0.008820287,0.416741523,0.802568132
IOSP US Equity,2.159189715,17.52832861,0.017239057,0.271569677,1.141362161
ITRI US Equity,2.983749324,36.88691858,0,1.445606824,1.144917281
JLL US Equity,1.796872178,12.93755979,0.005599426,0.454013659,0.817327744
KHC US Equity,0.968712597,14.995671,0.048113934,0.493702156,0.750533113
KSU US Equity,2.11272264,17.63909426,0.014543985,0.528639899,0.952235252
LGND US Equity,5.083095941,17.51248798,0,1.303589954,1.287182333
LIND US Equity,4.863416843,45.87188612,0,1.499077665,0.544362487
LZB US Equity,2.171070636,15.04662557,0.016456583,0.000579258,0.933372029
MAN US Equity,1.809299927,8.87685908,0.02490692,0.383851683,1.227878868
MEI US Equity,1.711276876,9.22625619,0.014358974,0.083992407,1.108921253
MLR US Equity,1.411545895,9.579043858,0.026499816,0.049592617,0.597849264
MRC US Equity,1.88712316,26.01481959,0,0.637411348,1.208968171
MTD US Equity,27.21563713,30.35664552,0,1.965044252,1.169823875
MTZ US Equity,2.361122128,15.5900838,0,1.189616866,1.265551047
NC US Equity,1.017113755,8.62838368,0.018755328,0.072838997,0.622543772
NGVT US Equity,12.26853358,26.92022158,0,2.320731329,1.495273714
NHC US Equity,1.690417233,20.59778408,0.024518389,0.137263629,0.496352668
NUE US Equity,1.995212266,9.92926045,0.024611399,0.421212077,1.205519358
OSIS US Equity,2.677279573,23.6352945,0,0.860419206,1.07345417
OSK US Equity,1.933949917,10.43238833,0.014888337,0.32544261,1.350052034
PFGC US Equity,2.925827473,22.33306189,0,1.216854029,0.931104243
PGTI US Equity,2.922302756,17.68156425,0,0.994154347,0.777738146
PKI US Equity,3.45680825,31.78100683,0.003497814,0.739590642,1.213255959
PLPC US Equity,1.319314347,11.9809369,0.012334258,0.153909215,1.075846125
PRAH US Equity,6.423895799,34.40311295,0,1.215361249,1.172435512
PSX US Equity,1.858223683,11.19716883,0.031925082,0.43950378,0.903478622
RAY Index,2.999543517,19.59669595,,1.1215812,1.101395907
RBC US Equity,1.431635414,13.42934688,0.014036529,0.542021615,1.116765241
RS US Equity,1.144118943,8.863185651,0.024375,0.411546031,1.17839549
RXN US Equity,2.587862932,18.79984051,0,1.169273792,0.896145315
SCL US Equity,2.452602416,17.67577718,0.010859301,0.367718207,0.713236425
SERV US Equity,3.994474612,19.91072701,0,1.936753338,0.444214091
SGA US Equity,1.168190556,8.519003932,0.054945055,0.108602396,1.145318981
SITE US Equity,8.156829768,28.73807981,0,1.938178231,0.566518817
SMP US Equity,2.529742203,20.87560481,0.015327103,0.107595791,1.017510068
SPXC US Equity,3.469273482,53.09766113,0,1.252366784,0.391950406
STRT US Equity,0.721762854,9.122434141,0.021459227,0.260732605,0.937789976
SUPN US Equity,5.205469272,20.79560635,0,0.771837435,0.338569613
TAST US Equity,2.211485981,32.70553064,0,1.602990108,1.129650974
TMO US Equity,3.480061322,32.18147333,0.00283932,0.698177761,0.972702498
TNET US Equity,8.880114426,17.75987107,0,1.194285714,0.704433307
TPB US Equity,8.399746193,20.7089669,0,2.942355401,1.271479557
UBNT US Equity,29.23060356,27.96507585,0,1.768695569,0.988288074
UFPI US Equity,1.57902165,11.53116755,0.011440829,0.199503721,1.132543868
UFS US Equity,1.107957485,15.57079049,0.038470091,0.432432432,0.465144665
USAK US Equity,2.338182063,19.52135148,0,1.303705409,0.427451736
VLGEA US Equity,0.878414996,14.41038508,0.037850114,0.16184994,1.076815322
VLO US Equity,1.545859264,12.61685939,0.0388666,0.395296167,0.83178445
VRSK US Equity,9.428951885,36.14209005,0,1.208294414,0.943698422
WBC US Equity,5.277025196,24.48973177,0,0.92125475,0.99122055
WERN US Equity,1.937445252,19.31506849,0.009160757,0.100522637,1.149082782
WGO US Equity,1.524001699,8.072379524,0.015485869,0.545315234,1.15678436
WRK US Equity,1.015820812,11.124289,0.036771105,0.558494245,1.561667191
XPO US Equity,2.119717718,25.4078445,0,0.890953854,1.183903465
ZBRA US Equity,7.497316526,22.86321029,0,1.566364386,
